sortby,weekday,time,jamp,tablename,VD,direct,road,position,city,district,newdirect
1,0,5,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,6,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,7,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,8,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,9,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,10,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,11,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,12,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,13,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,14,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,15,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,16,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,17,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,18,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,19,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,20,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,21,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,22,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,23,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,1,0,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,1,1,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,1,2,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,1,3,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,1,4,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,1,5,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
